MODIFIED_ADDRESS,count
"782 ionia ave, staten island, ny 10312",1
"3060 ocean ave #6p, brooklyn, ny 11235",1
"47-08 248th st, flushing, ny 11362",1
"110-02 203rd st, jamaica, ny 11412",1
"1238 63rd st #204, brooklyn, ny 11219",1
"102-57 62nd dr, flushing, ny 11375",1
"61-25 97th st #10e, rego park, ny 11374",1
"201 w 21st st #9a, new york, ny 10011",1
"1718 63rd st, brooklyn, ny 11204",1
"132-36 pople ave #3e, flushing, ny 11355",1
"1605 purdy st, bronx, ny 10462",1
"60 e 9th st apt 214, new york, ny 10003",1
"55 vestry st #6c, new york, ny 10013",1
"2116 vyse ave, bronx, ny 10460",1
"199 vineland ave, staten island, ny 10312",1
"420 e 51st st #8d, new york, ny 10022",1
"480 butler blvd, staten island, ny 10309",1
"43-33 48th st #4j, long island city, ny 11104",1
"59 larkin st, staten island, ny 10302",1
"628 56th st, brooklyn, ny 11220",1
"20-03 49th st, astoria, ny 11105",1
"53-29 72nd pl, queens, ny 11378",1
"90 park terrace e #3a, new york, ny 10034",1
"347 w 57th st #6b, new york, ny 10019",1
"2930 w 5th st #15h, brooklyn, ny 11224",1
"162 e 2nd st b, new york, ny 10009",1
"450 front st, staten island, ny 10304",1
"303 avenue p b1, brooklyn, ny 11204",1
"200 east end ave #3c, new york, ny 10128",1
"1 central park s #1801, new york, ny 10019",1
"38 edgar terrace, staten island, ny 10301",1
"347 w 57th st #29c, new york, ny 10019",1
"575 4th ave #4c, brooklyn, ny 11215",1
"269 grafton st, brooklyn, ny 11212",1
"35-11 85th st #6b, jackson heights, ny 11372",1
"45 e 80th st #11b, new york, ny 10075",1
"520 e 90th st, new york, ny 10128",1
"159 w 53rd st #36b, new york, ny 10019",1
"1010 5th ave #11b, new york, ny 10028",1
"9 barrow st #6b, new york, ny 10014",1
"2 5th ave #4c, new york, ny 10011",1
"6604 grand central pkwy #1c, forest hills, ny 11375",1
"5100 surf ave, brooklyn, ny 11224",1
"35 mcdonald ave #3f, brooklyn, ny 11218",1
" 28 e 10th st #1k, new york, ny 10003",1
"488 onderdonk ave, ridgewood, ny 11385",1
"250 w 82nd st #2c, new york, ny 10024",1
"2247 coney island ave, brooklyn, ny 11223",1
"300 albany st #3d, new york, ny 10280",1
"504 w 111th st apt 34, new york, ny 10025",1
"7302 6th ave, brooklyn, ny 11209",1
"217 w 20th st, new york, ny 10011",1
"180-14 69th ave, flushing, ny 11365",1
"323 bainbridge st., brooklyn, ny 11233",1
"545 west end ave #8d, new york, ny 10024",1
"1876 60th st, brooklyn, ny 11204",1
"335 e 18th st, new york, ny 10003",1
"1859 mulford ave, bronx, ny 10461",1
"314 w 56th st #3c, new york, ny 10019",1
"2355 bell blvd apt 4d, bayside, ny 11360",1
"183-05 145th dr, jamaica, ny 11413",1
"67 park ave #8e, new york, ny 10016",1
"11 goller pl, staten island, ny 10314",1
"32-58 77th st, flushing, ny 11370",1
"18-55 corporal kennedy st #6k, bayside, ny 11360",1
"44 venus ln, staten island, ny 10314",1
"11 e 68th st #7j, new york, ny 10065",1
"149-47 115th st, jamaica, ny 11420",1
"62 ambassador ln, staten island, ny 10309",1
"215 hart blvd #3j, staten island, ny 10301",1
"609 thomas s boyland st, brooklyn, ny 11212",1
"1600 broadway #16g, new york, ny 10019",1
"746 50th st, brooklyn, ny 11220",1
"35-54 95th st, flushing, ny 11372",1
"4970 independence ave, bronx, ny 10471",1
"69-33 165th st, fresh meadows, ny 11365",1
"205-23 113th ave, jamaica, ny 11412",1
"247 e 71st st, new york, ny 10021",1
"6615 wetherole st apt a6, rego park, ny 11374",1
"213 w 23rd st #5n, new york, ny 10011",1
"1235 e 10th st, brooklyn, ny 11230",1
"14220 26th ave #2a, flushing, ny 11354",1
"1625 w 2nd st, brooklyn, ny 11223",1
"8610 109th st apt c1, richmond hill, ny 11418",1
"284 5th ave # 7a, new york, ny 10001",1
"4236 richmond ave, staten island, ny 10312",1
"269-10 grand central pkwy #9n, queens, ny 11005",1
"435 e 117th st apt 3, new york, ny 10035",1
"500 e 83rd st #18a, new york, ny 10028",1
"109 troutman st #3b, brooklyn, ny 11206",1
"158-16 79th ave #205, flushing, ny 11366",1
"356 e 31st st, brooklyn, ny 11226",1
"227-10 88th ave, queens village, ny 11427",1
"69-08 myrtle ave, flushing, ny 11385",1
"33-26 92nd st #3c, queens, ny 11372",1
"67-71 yellowstone blvd #3a, forest hills, ny 11375",1
"2035 e 7th st #3b, brooklyn, ny 11223",1
"2815 ocean pkwy #4i, brooklyn, ny 11235",1
"956 79th st #3b, brooklyn, ny 11228",1
"42 w 120th st #2d, new york, ny 10027",1
"333 e 91st st #24a, new york, ny 10128",1
"1185 anderson ave #2c, bronx, ny 10452",1
"11-18 bay 24th st, queens, ny 11691",1
"87-46 chelsea st #6c, queens, ny 11432",1
" 101 central park w, new york, ny 10023",1
"221-24 manor rd, queens village, ny 11427",1
"511 68th st #1a, brooklyn, ny 11220",1
"11 riverside dr #10, new york, ny 10023",1
"4 e 66th st fl 7, new york, ny 10065",1
"53-70 64th st, flushing, ny 11378",1
"1810 3rd ave a9, new york, ny 10029",1
"555 w 59th st #20b, new york, ny 10019",1
"243 w 60th st #4a, new york, ny 10023",1
"173-22 effington ave, flushing, ny 11358",1
"906 east 16th street, brooklyn, ny 11230",1
"3 e 77th st #14d, new york, ny 10075",1
" 1199 park ave #6j, new york, ny 10128",1
"68-63 108th st #3a, forest hills, ny 11375",1
"33 avenue x, brooklyn, ny 11223",1
"1150 park ave #6d, new york, ny 10128",1
"145 w 129th st #2, new york, ny 10027",1
"303 whitman dr, brooklyn, ny 11234",1
"111 murray st #17a, new york, ny 10007",1
"24 w 55th st, new york, ny 10019",1
"2546 stillwell ave #3b, brooklyn, ny 11223",1
"123 w 86th st, new york, ny 10024",1
"16015 powells cove blvd apt b104, whitestone, ny 11357",1
"3511 85th st apt 2l, jackson heights, ny 11372",1
"2719 e 28th st #2b, brooklyn, ny 11235",1
"36 monroe ave, staten island, ny 10301",1
"4295 webster ave #1k, bronx, ny 10470",1
"141-16 25th rd #1d, flushing, ny 11354",1
"41 milburn st, staten island, ny 10306",1
"2239 troy ave c6, brooklyn, ny 11234",1
"470 park ave #6a, new york, ny 10022",1
"50 w 86th st, new york, ny 10024",1
"4016 7th ave #2r, brooklyn, ny 11232",1
"980 5th ave #8b, new york, ny 10075",1
"50 w 112th st #6d, new york, ny 10026",1
"15 denker pl, staten island, ny 10314",1
"43-17 20th rd, queens, ny 11105",1
"2307 e 66th st, brooklyn, ny 11234",1
"40-11 102nd st, flushing, ny 11368",1
"15 kathy pl, staten island, ny 10314",1
"371 w 120th st #2a, new york, ny 10027",1
"53 w 71st st, new york, ny 10023",1
"2011 e 56th st # 57a, brooklyn, ny 11234",1
" 2908 139th st #2g, flushing, ny 11354",1
"673 vanderbilt ave #1c, brooklyn, ny 11238",1
"159 madison ave #7e, new york, ny 10016",1
"252 e 57th st #39c, new york, ny 10022",1
"2885 e 195th st, bronx, ny 10461",1
"180 riverside dr #8a, new york, ny 10024",1
"61-15 97th st #6d, rego park, ny 11374",1
"804 w 180th st apt 52, new york, ny 10033",1
"84-25 118th st #3a, jamaica, ny 11415",1
"1133 park ave #12b, new york, ny 10128",1
"16420 highland ave apt 8u, jamaica, ny 11432",1
"413 greene ave, brooklyn, ny 11216",1
"2115 5th ave, new york, ny 10035",1
"85 n 3rd st apt 504, brooklyn, ny 11249",1
"10 sullivan st #10a, new york, ny 10012",1
"762 e 37th st, brooklyn, ny 11210",1
"19005 39th ave apt 142, flushing, ny 11358",1
"781 5th ave # 407, new york, ny 10022",1
"1363 sutter ave, brooklyn, ny 11208",1
"115 rome ave, staten island, ny 10304",1
"1217 doone ct, brooklyn, ny 11235",1
"300 w 145th st #2b, new york, ny 10039",1
"47-19 99th st, flushing, ny 11368",1
"18 fillmore pl, brooklyn, ny 11211",1
"640 ditmas ave apt 29, brooklyn, ny 11218",1
"90 william st #6c, new york, ny 10038",1
"31-32 100th st, flushing, ny 11369",1
"320 e 57th st, new york, ny 10022",1
"2951 harding ave, bronx, ny 10465",1
"93 gower st, staten island, ny 10314",1
"47 bridge st #3c, brooklyn, ny 11201",1
"407 park ave s apartment 11b, new york, ny 10016",1
"7372 amboy rd, staten island, ny 10307",1
"212 hunter ave, staten island, ny 10306",1
"138 edgecombe ave #1a, new york, ny 10030",1
"21-68 35th st #5d, astoria, ny 11105",1
